BeeID,bout_index,event_type,dt,Temperature,q10,metabolic_rate_uL_h,metabolic_rate_mL_h
unmarked4,317,flight,2,22.5,1.0586737026540554,13327.224219660391,13.32722421966039
unmarked4,318,flight,2,22.5,1.0586737026540554,13480.068965072627,13.480068965072627
unmarked4,319,flight,1,22.5,1.0586737026540554,14779.076843130468,14.779076843130468
unmarked4,320,flight,2,22.5,1.0586737026540554,13761.535578110892,13.761535578110893
unmarked4,321,flight,2,22.5,1.0586737026540554,13517.372603394086,13.517372603394085
unmarked4,322,flight,2,22.5,1.0586737026540554,15682.253399277663,15.682253399277663
unmarked4,323,flight,2,22.5,1.0586737026540554,14746.892950835048,14.746892950835049
unmarked4,324,flight,1,22.5,1.0586737026540554,13607.86951364014,13.607869513640141
unmarked4,325,flight,2,22.5,1.0586737026540554,12697.91405804012,12.69791405804012
unmarked4,326,buzz,1,22.5,1.0586737026540554,13918.296357549247,13.918296357549247
unmarked4,327,buzz,1,22.5,1.0586737026540554,13971.49344069917,13.97149344069917
unmarked4,328,buzz,1,22.5,1.0586737026540554,14068.362084492015,14.068362084492016
unmarked4,329,buzz,1,22.5,1.0586737026540554,12908.297507456859,12.908297507456858
unmarked41,345,buzz,2,23.0,1.0226113898709317,14966.409362317334,14.966409362317334
unmarked41,346,buzz,2,23.0,1.0226113898709317,15713.349673196979,15.713349673196978
unmarked41,347,buzz,1,23.0,1.0226113898709317,15568.723380505753,15.568723380505753
unmarked41,355,flight,1,23.0,1.0226113898709317,15690.641564673502,15.690641564673502
unmarked41,356,flight,1,23.0,1.0226113898709317,15614.97036704583,15.61497036704583
unmarked41,357,flight,2,23.0,1.0226113898709317,15098.145842961505,15.098145842961506
unmarked41,358,flight,1,23.0,1.0226113898709317,15345.73355891961,15.34573355891961
unmarked41,359,flight,1,23.0,1.0226113898709317,15371.886231648723,15.371886231648723
unmarked41,360,flight,1,23.0,1.0226113898709317,13847.480659901796,13.847480659901796
unmarked41,361,flight,1,23.0,1.0226113898709317,15541.20736227166,15.54120736227166
unmarked41,362,flight,1,23.0,1.0226113898709317,14435.166017635835,14.435166017635835
unmarked41,363,flight,1,23.0,1.0226113898709317,14620.853429986822,14.620853429986822
unmarked41,364,flight,2,23.0,1.0226113898709317,14125.009823788483,14.125009823788483
unmarked42,365,buzz,1,23.5,0.9877774918486618,10898.027373379291,10.898027373379291
unmarked42,366,buzz,1,23.5,0.9877774918486618,10642.480248685117,10.642480248685116
unmarked42,379,flight,1,23.5,0.9877774918486618,11392.727282179927,11.392727282179926
unmarked42,380,flight,2,23.5,0.9877774918486618,11515.819371882148,11.515819371882147
unmarked42,381,flight,2,23.5,0.9877774918486618,11960.088695947446,11.960088695947446
unmarked42,384,flight,1,23.5,0.9877774918486618,11866.229881116491,11.86622988111649
unmarked42,385,flight,2,23.5,0.9877774918486618,11383.355446892765,11.383355446892764
unmarked42,395,flight,1,23.5,0.9877774918486618,11378.572035610738,11.378572035610738
unmarked42,396,flight,1,23.5,0.9877774918486618,10947.531620382772,10.947531620382772
unmarked42,397,flight,1,23.5,0.9877774918486618,10348.98587364209,10.348985873642091
unmarked42,398,flight,2,23.5,0.9877774918486618,10315.299895393075,10.315299895393075
unmarked42,399,flight,1,23.5,0.9877774918486618,10753.235392625144,10.753235392625143
unmarked42,400,flight,1,23.5,0.9877774918486618,10937.794109868128,10.937794109868127
unmarked42,401,flight,1,23.5,0.9877774918486618,10968.388739678656,10.968388739678655
unmarked42,402,flight,1,23.5,0.9877774918486618,11000.335834431018,11.000335834431018
unmarked42,403,flight,1,23.5,0.9877774918486618,11093.073916919726,11.093073916919726
unmarked42,413,flight,1,23.5,0.9877774918486618,11475.804900798352,11.475804900798352
unmarked42,414,flight,1,23.5,0.9877774918486618,11192.106117586492,11.192106117586492
unmarked42,416,flight,2,23.5,0.9877774918486618,11377.499901921088,11.377499901921087
unmarked42,417,flight,1,23.5,0.9877774918486618,10577.52874215311,10.57752874215311
unmarked42,418,flight,1,23.5,0.9877774918486618,10484.968459612935,10.484968459612935
unmarked42,419,flight,1,23.5,0.9877774918486618,10254.741232922815,10.254741232922816
unmarked42,420,flight,1,23.5,0.9877774918486618,9850.508308601628,9.850508308601627
unmarked42,421,flight,2,23.5,0.9877774918486618,10501.152996261379,10.501152996261379
unmarked42,422,flight,1,23.5,0.9877774918486618,10712.730193683401,10.7127301936834
unmarked42,428,flight,1,23.5,0.9877774918486618,9366.16465413653,9.36616465413653
unmarked44,429,buzz,3,23.5,0.9877774918486618,13135.331539086606,13.135331539086607
unmarked44,448,flight,2,23.5,0.9877774918486618,12192.030506807916,12.192030506807916
unmarked44,449,flight,1,23.5,0.9877774918486618,12197.267307958698,12.197267307958699
unmarked44,453,buzz,2,23.5,0.9877774918486618,11418.492865388305,11.418492865388306
unmarked44,454,flight,1,23.5,0.9877774918486618,12231.06944884076,12.23106944884076
unmarked44,455,flight,1,23.5,0.9877774918486618,12520.006218536395,12.520006218536395
unmarked46,456,buzz,2,24.0,0.9541301642708879,9830.142223296047,9.830142223296047
unmarked46,457,buzz,1,24.0,0.9541301642708879,10588.599564304293,10.588599564304292
unmarked46,458,buzz,2,24.0,0.9541301642708879,10893.558074930455,10.893558074930455
unmarked46,459,buzz,1,24.0,0.9541301642708879,12337.706783272966,12.337706783272965
unmarked46,480,flight,1,24.0,0.9541301642708879,12577.21101049998,12.57721101049998
unmarked46,481,flight,1,24.0,0.9541301642708879,12581.00768524965,12.581007685249649
unmarked46,495,flight,2,24.0,0.9541301642708879,12515.432036493603,12.515432036493603
unmarked46,496,flight,1,24.0,0.9541301642708879,12536.65208217302,12.536652082173019
unmarked46,497,flight,2,24.0,0.9541301642708879,12484.383114339964,12.484383114339964
unmarked46,498,flight,1,24.0,0.9541301642708879,12362.700032100007,12.362700032100006
unmarked46,502,flight,1,24.0,0.9541301642708879,12344.296006187416,12.344296006187417
unmarked46,503,flight,1,24.0,0.9541301642708879,12385.304902299844,12.385304902299843
unmarked46,504,flight,1,24.0,0.9541301642708879,12428.839571783134,12.428839571783133
unmarked46,512,flight,2,24.0,0.9541301642708879,12586.372377511274,12.586372377511275
unmarked46,513,flight,1,24.0,0.9541301642708879,12776.417359412979,12.776417359412978
unmarked46,514,flight,3,24.0,0.9541301642708879,12741.094315775474,12.741094315775474
unmarked46,526,flight,1,24.0,0.9541301642708879,11762.629634142953,11.762629634142954
unmarked46,540,flight,1,24.0,0.9541301642708879,12228.866102218059,12.228866102218058
unmarked46,541,flight,2,24.0,0.9541301642708879,12272.627473028375,12.272627473028376
unmarked46,542,flight,1,24.0,0.9541301642708879,12365.268168850162,12.365268168850161
unmarked46,543,flight,1,24.0,0.9541301642708879,12352.606098266155,12.352606098266154
unmarked46,544,flight,2,24.0,0.9541301642708879,12080.032101197574,12.080032101197574
unmarked46,545,flight,2,24.0,0.9541301642708879,12265.095951163687,12.265095951163687
unmarked46,546,flight,2,24.0,0.9541301642708879,12154.775414223994,12.154775414223995
unmarked46,547,flight,2,24.0,0.9541301642708879,12232.279789119788,12.232279789119788
unmarked46,548,flight,2,24.0,0.9541301642708879,11936.338381024083,11.936338381024083
unmarked46,549,flight,2,24.0,0.9541301642708879,12047.834215500117,12.047834215500117
unmarked46,550,flight,2,24.0,0.9541301642708879,12451.021380668135,12.451021380668134
unmarked47,551,buzz,2,24.0,0.9541301642708879,8588.933566025366,8.588933566025366
unmarked47,552,buzz,1,24.0,0.9541301642708879,8666.188340470184,8.666188340470184
unmarked47,553,buzz,2,24.0,0.9541301642708879,9836.462381504176,9.836462381504177
unmarked47,554,buzz,2,24.0,0.9541301642708879,10006.395062847183,10.006395062847183
unmarked47,555,buzz,1,24.0,0.9541301642708879,9619.184616453853,9.619184616453852
unmarked47,556,buzz,2,24.0,0.9541301642708879,9800.21650317179,9.800216503171791
unmarked47,557,buzz,1,24.0,0.9541301642708879,9900.382423599178,9.900382423599178
unmarked47,558,buzz,2,24.0,0.9541301642708879,10459.525217333794,10.459525217333795
unmarked47,559,buzz,2,24.0,0.9541301642708879,10661.31458742751,10.66131458742751
unmarked47,560,buzz,1,24.0,0.9541301642708879,10741.098570111775,10.741098570111776
unmarked47,561,buzz,1,24.0,0.9541301642708879,10916.410828146976,10.916410828146976
unmarked47,562,buzz,2,24.0,0.9541301642708879,12759.728477883686,12.759728477883685
unmarked47,563,buzz,2,24.0,0.9541301642708879,11645.107322723352,11.645107322723351
unmarked47,564,buzz,1,24.0,0.9541301642708879,10899.758585215988,10.899758585215988
unmarked47,565,buzz,3,24.0,0.9541301642708879,10969.876847684123,10.969876847684123
unmarked47,566,buzz,2,24.0,0.9541301642708879,12433.584842742119,12.43358484274212
unmarked47,567,buzz,1,24.0,0.9541301642708879,12223.54778068241,12.22354778068241
unmarked47,568,buzz,2,24.0,0.9541301642708879,12003.13455308626,12.00313455308626
unmarked47,569,buzz,2,24.0,0.9541301642708879,11847.083893155293,11.847083893155293
unmarked47,570,buzz,1,24.0,0.9541301642708879,12374.469036850254,12.374469036850254
unmarked47,571,buzz,1,24.0,0.9541301642708879,12921.181041152684,12.921181041152684
unmarked47,572,buzz,1,24.0,0.9541301642708879,14347.364814284203,14.347364814284203
unmarked47,573,buzz,2,24.0,0.9541301642708879,14412.479618170903,14.412479618170902
unmarked47,574,buzz,1,24.0,0.9541301642708879,14277.21220313015,14.27721220313015
unmarked47,575,buzz,1,24.0,0.9541301642708879,14277.21220313015,14.27721220313015
unmarked47,576,buzz,2,24.0,0.9541301642708879,14204.213803348144,14.204213803348145
unmarked47,577,buzz,1,24.0,0.9541301642708879,14207.774044643109,14.20777404464311
unmarked47,578,buzz,2,24.0,0.9541301642708879,13778.376542210503,13.778376542210502
unmarked47,579,buzz,2,24.0,0.9541301642708879,13512.51714075997,13.51251714075997
unmarked47,580,buzz,2,24.0,0.9541301642708879,14629.52094976652,14.62952094976652
unmarked47,581,buzz,1,24.0,0.9541301642708879,14210.51277986663,14.210512779866631
unmarked47,582,buzz,2,24.0,0.9541301642708879,13718.157571022712,13.718157571022711
unmarked47,583,buzz,2,24.0,0.9541301642708879,13150.927379189701,13.150927379189701
unmarked47,584,buzz,1,24.0,0.9541301642708879,13649.318224626764,13.649318224626764
unmarked47,585,buzz,1,24.0,0.9541301642708879,14035.735216375491,14.03573521637549
unmarked47,592,buzz,1,24.0,0.9541301642708879,10545.57783519732,10.54557783519732
unmarked47,593,buzz,2,24.0,0.9541301642708879,10602.450671899014,10.602450671899014
unmarked47,594,buzz,1,24.0,0.9541301642708879,10606.380734045648,10.606380734045647
unmarked47,595,buzz,1,24.0,0.9541301642708879,10639.989778256057,10.639989778256057
unmarked47,596,buzz,1,24.0,0.9541301642708879,10926.220812843942,10.926220812843942
unmarked47,597,buzz,1,24.0,0.9541301642708879,11048.577701805909,11.04857770180591
unmarked47,602,buzz,2,24.0,0.9541301642708879,12177.606985750863,12.177606985750863
unmarked47,603,buzz,2,24.0,0.9541301642708879,13028.095333405927,13.028095333405927
unmarked47,604,buzz,2,24.0,0.9541301642708879,13855.291264664776,13.855291264664777
unmarked47,614,buzz,2,24.0,0.9541301642708879,14064.944766398447,14.064944766398446
unmarked47,615,buzz,1,24.0,0.9541301642708879,14107.861732013382,14.107861732013381
unmarked47,616,buzz,2,24.0,0.9541301642708879,14000.121926342012,14.000121926342011
unmarked47,617,flight,1,24.0,0.9541301642708879,13102.95428700826,13.102954287008261
unmarked47,618,buzz,1,24.0,0.9541301642708879,11219.410891197955,11.219410891197954
unmarked47,619,buzz,1,24.0,0.9541301642708879,10418.548379994887,10.418548379994887
unmarked47,620,buzz,2,24.0,0.9541301642708879,10953.459320773549,10.953459320773549
unmarked47,621,buzz,1,24.0,0.9541301642708879,11488.37026155221,11.48837026155221
unmarked47,622,buzz,5,24.0,0.9541301642708879,12937.309810110346,12.937309810110346
unmarked47,623,buzz,3,24.0,0.9541301642708879,13565.481860308806,13.565481860308806
unmarked47,624,flight,1,24.0,0.9541301642708879,13425.352197950933,13.425352197950934
unmarked47,625,flight,1,24.0,0.9541301642708879,12629.487420548316,12.629487420548315
unmarked47,626,buzz,2,24.0,0.9541301642708879,11999.63957429453,11.99963957429453
unmarked47,627,buzz,1,24.0,0.9541301642708879,11846.85146704728,11.84685146704728
