laser_key,buzz.number,wav_file,cep.fund.frequency,start_laser,stop_laser,is_floral_buzz
_153402,19,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz19.wav,263.2,348.71,349.18,
_153402,22,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz22.wav,424.83,361.59,361.78,
_153402,23,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz23.wav,296.06,361.81,362.01,
_153402,27,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz27.wav,258.37,370.22,370.59,
_153402,28,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz28.wav,278.34,373.02,373.49,
_153402,33,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz33.wav,418.07,384.79,384.92,
_153402,34,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz34.wav,372.48,391.59,391.69,
_153402,38,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz38.wav,268.9,425.08,428.38,
_153402,39,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz39.wav,276.15,428.46,429.46,
_153402,40,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz40.wav,303.33,429.51,430.73,
_153402,41,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz41.wav,321.43,430.88,430.98,
_153402,45,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz45.wav,327.7,434.9,435.03,
_153402,47,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz47.wav,260.25,435.43,436.76,
_153402,51,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz51.wav,346.29,439.32,440.5,
_153402,52,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz52.wav,256.75,440.52,440.77,
_153402,54,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz54.wav,256.71,441.81,442.01,
_153402,55,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz55.wav,448.74,442.08,442.23,
_153402,62,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz62.wav,417.84,446.37,446.62,
_153402,63,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz63.wav,403.98,446.65,446.81,
_153402,73,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz73.wav,291.82,470.25,470.37,
_153402,79,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz79.wav,274.91,476.62,476.98,
_153402,80,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz80.wav,403.07,477.01,477.33,
_153402,84,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz84.wav,417.19,480.72,480.82,
_153402,92,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz92.wav,307.69,490.93,491.45,
_153402,97,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz97.wav,306.39,531.23,533.11,
_153402,99,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz99.wav,348.33,551.46,552.21,
_153402,101,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz101.wav,272.95,552.61,552.77,
_153402,104,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz104.wav,444.38,570.84,571.05,
_153402,107,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz107.wav,326.48,587.41,587.54,
_153402,108,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz108.wav,280.59,587.56,587.7,
_153402,109,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz109.wav,382.55,587.77,587.87,
_153402,111,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz111.wav,263.72,592.67,593.45,
_125224,24,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz24.wav,316.25,417.25,417.41,
_125224,25,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz25.wav,307.54,417.51,417.68,
_125224,26,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz26.wav,301.18,418.27,418.38,
_125224,27,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz27.wav,301.18,418.47,418.6,
_125224,30,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz30.wav,254.65,420.91,421.52,
_125224,31,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz31.wav,263.06,427.36,428.8,
_125224,32,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz32.wav,293.81,433.61,433.86,
_125224,33,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz33.wav,265.79,433.88,434.56,
_125224,38,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz38.wav,351.0,442.95,443.07,
_125224,42,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz42.wav,336.25,455.65,455.92,
_125224,45,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz45.wav,280.98,459.18,459.81,
_125224,49,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz49.wav,358.8,462.23,462.67,
_125224,53,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz53.wav,386.21,464.96,465.23,
_125224,83,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz83.wav,317.0,574.15,574.49,
_125224,90,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz90.wav,356.21,621.81,621.95,
_125224,107,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz107.wav,358.7,660.09,660.2,
_125224,108,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz108.wav,285.46,660.23,660.34,
_125224,112,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_125224\_125224_buzz112.wav,293.84,691.39,691.6,
_132313,30,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz30.wav,274.27,443.29,443.45,
_132313,31,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz31.wav,302.28,455.9,456.95,
_132313,32,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz32.wav,281.91,457.33,458.03,
_132313,33,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz33.wav,300.46,458.68,458.79,
_132313,35,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz35.wav,297.27,464.09,464.35,
_132313,36,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz36.wav,322.54,464.38,465.61,
_132313,37,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz37.wav,330.71,466.03,466.68,
_132313,38,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz38.wav,313.54,466.7,466.88,
_132313,39,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz39.wav,283.21,470.14,470.76,
_132313,40,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz40.wav,342.86,475.43,475.91,
_132313,41,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz41.wav,316.08,476.08,476.54,
_132313,42,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz42.wav,300.05,477.35,478.34,
_132313,43,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz43.wav,344.47,478.66,478.79,
_132313,44,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz44.wav,306.53,478.89,479.34,
_132313,45,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz45.wav,356.15,479.48,479.63,
_132313,46,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz46.wav,295.94,479.69,479.94,
_132313,47,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz47.wav,363.01,480.11,480.25,
_132313,48,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz48.wav,330.32,480.28,480.39,
_132313,49,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz49.wav,321.37,480.41,481.01,
_132313,50,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz50.wav,264.85,486.12,486.23,
_132313,51,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz51.wav,312.77,486.25,486.49,
_132313,52,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz52.wav,314.3,486.6,487.08,
_132313,53,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz53.wav,299.62,487.12,487.98,
_132313,54,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz54.wav,332.47,488.0,488.43,
_132313,55,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz55.wav,326.78,494.44,494.82,
_132313,56,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz56.wav,332.16,494.88,495.07,
_132313,57,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz57.wav,333.08,495.09,495.23,
_132313,58,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz58.wav,294.56,500.24,500.48,
_132313,61,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz61.wav,327.68,525.77,527.08,
_132313,62,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz62.wav,265.76,539.88,540.05,
_132313,63,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz63.wav,319.87,542.17,543.05,
_132313,64,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz64.wav,330.49,543.22,543.34,
_132313,65,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_132313\_132313_buzz65.wav,331.14,551.13,552.14,
