laser_key,buzz.number,wav_file,cep.fund.frequency,start_video,stop_video,is_floral_buzz,start_laser,stop_laser
_133455,67,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz67.wav,300.29,685.25605,685.46605,yes,477.8,478.01
_133455,68,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz68.wav,318.02,685.71605,686.07605,yes,478.26,478.62
_133455,69,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz69.wav,271,687.01605,687.8660500000001,yes,479.56,480.41
_133455,70,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz70.wav,346.77,689.50605,690.19605,yes,482.05,482.74
_133455,72,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz72.wav,296.51,691.92605,692.0260499999999,~,484.47,484.57
_133455,73,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz73.wav,292.08,692.46605,692.72605,no,485.01,485.27
_133455,76,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz76.wav,342.11,694.5260499999999,695.1460500000001,yes,487.07,487.69
_133455,77,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz77.wav,264.13,695.96605,696.07605,yes,488.51,488.62
_133455,79,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz79.wav,329.58,709.44605,710.49605,yes,501.99,503.04
_133455,80,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz80.wav,318.6,714.21605,714.85605,yes,506.76,507.4
_133455,81,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz81.wav,309.79,715.2960499999999,715.3960500000001,~,507.84,507.94
_133455,85,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz85.wav,295.3,717.44605,717.60605,yes,509.99,510.15
